id,company_name,contact_first,phone,pain_score,manages_gbp_count,has_ai_response_tool,city,industry
AGY-AUS-001,Synup Austin,Rachel,(555) 698-1820,3,47,False,Austin,digital_marketing_agency
AGY-AUS-002,Synup Austin,Amanda,(555) 643-5209,1,4,False,Austin,digital_marketing_agency
AGY-AUS-003,BrightLocal Austin,Laura,(555) 240-8252,3,25,False,Austin,digital_marketing_agency
AGY-AUS-004,Vendasta Austin,Amanda,(555) 967-6822,0,2,True,Austin,digital_marketing_agency
AGY-AUS-005,Vendasta Austin,Jessica,(555) 557-8049,3,44,False,Austin,digital_marketing_agency
AGY-AUS-006,BirdEye Austin,Emily,(555) 705-1390,1,7,False,Austin,digital_marketing_agency
AGY-AUS-007,BirdEye Austin,Ashley,(555) 485-2876,1,3,False,Austin,digital_marketing_agency
AGY-AUS-008,SOCi Austin,Emily,(555) 707-7952,0,4,True,Austin,digital_marketing_agency
AGY-AUS-009,Grade.us Austin,Jessica,(555) 894-4078,3,37,False,Austin,digital_marketing_agency
AGY-AUS-010,SOCi Austin,Rachel,(555) 472-9686,2,25,False,Austin,digital_marketing_agency
