id,company_name,contact_first,contact_last,email,phone,address,website,gbp_url,hours,has_voicemail_after_hours,has_recent_gbp_posts,has_qa_section,pain_score,status,email_sent_date,reply,notes
HVAC-DUB-001,Mike Heating & Cooling,Mike,Smith,info@mikesmith.heatingandcooling.com,(602) 555-1000,"100 Main St, Dubai, AZ",https://mikesmith.heatingandcooling.com,,8AM-5PM M-F,False,True,True,0,NEW,,,
HVAC-DUB-002,John HVAC Services,John,Johnson,info@johnjohnson.hvacservices.com,(602) 556-1001,"150 1st Ave, Dubai, AZ",https://johnjohnson.hvacservices.com,,7AM-6PM M-Sat,True,False,False,3,NEW,,,
HVAC-DUB-003,Dave Air Conditioning,Dave,Williams,info@davewilliams.acrepair.com,(602) 557-1002,"200 Washington St, Dubai, AZ",https://davewilliams.acrepair.com,,8AM-5PM M-F,True,False,False,3,NEW,,,
HVAC-DUB-004,Chris Climate Control,Chris,Brown,info@chrisbrown.climatecontrol.com,(602) 558-1003,"250 Jefferson Blvd, Dubai, AZ",https://chrisbrown.climatecontrol.com,,7AM-6PM M-Sat,False,False,False,2,NEW,,,
HVAC-DUB-005,Ryan Comfort Solutions,Ryan,Jones,info@ryanjones.comfortsolutions.com,(602) 559-1004,"300 Oak St, Dubai, AZ",https://ryanjones.comfortsolutions.com,,8AM-5PM M-F,True,True,False,2,NEW,,,
HVAC-DUB-006,Tom Heating & Cooling,Tom,Garcia,info@tomgarcia.heatingandcooling.com,(602) 560-1005,"350 Pine Ave, Dubai, AZ",https://tomgarcia.heatingandcooling.com,,7AM-6PM M-Sat,True,False,True,2,NEW,,,
HVAC-DUB-007,Alex HVAC Services,Alex,Miller,info@alexmiller.hvacservices.com,(602) 561-1006,"400 Cedar Rd, Dubai, AZ",https://alexmiller.hvacservices.com,,8AM-5PM M-F,False,False,False,2,NEW,,,
HVAC-DUB-008,Sam Air Conditioning,Sam,Davis,info@samdavis.acrepair.com,(602) 562-1007,"450 Maple Dr, Dubai, AZ",https://samdavis.acrepair.com,,7AM-6PM M-Sat,True,False,False,3,NEW,,,
HVAC-DUB-009,Jose Climate Control,Jose,Rodriguez,info@joserodriguez.climatecontrol.com,(602) 563-1008,"500 Main St, Dubai, AZ",https://joserodriguez.climatecontrol.com,,8AM-5PM M-F,True,True,False,2,NEW,,,
HVAC-DUB-010,Carlos Comfort Solutions,Carlos,Martinez,info@carlosmartinez.comfortsolutions.com,(602) 564-1009,"550 1st Ave, Dubai, AZ",https://carlosmartinez.comfortsolutions.com,,7AM-6PM M-Sat,False,False,False,2,NEW,,,
HVAC-DUB-011,Robert Heating & Cooling,Robert,Smith,info@robertsmith.heatingandcooling.com,(602) 565-1010,"600 Washington St, Dubai, AZ",https://robertsmith.heatingandcooling.com,,8AM-5PM M-F,True,False,True,2,NEW,,,
HVAC-DUB-012,Bill HVAC Services,Bill,Johnson,info@billjohnson.hvacservices.com,(602) 566-1011,"650 Jefferson Blvd, Dubai, AZ",https://billjohnson.hvacservices.com,,7AM-6PM M-Sat,True,False,False,3,NEW,,,
HVAC-DUB-013,Dan Air Conditioning,Dan,Williams,info@danwilliams.acrepair.com,(602) 567-1012,"700 Oak St, Dubai, AZ",https://danwilliams.acrepair.com,,8AM-5PM M-F,False,True,False,1,NEW,,,
HVAC-DUB-014,Steve Climate Control,Steve,Brown,info@stevebrown.climatecontrol.com,(602) 568-1013,"750 Pine Ave, Dubai, AZ",https://stevebrown.climatecontrol.com,,7AM-6PM M-Sat,True,False,False,3,NEW,,,
HVAC-DUB-015,Joe Comfort Solutions,Joe,Jones,info@joejones.comfortsolutions.com,(602) 569-1014,"800 Cedar Rd, Dubai, AZ",https://joejones.comfortsolutions.com,,8AM-5PM M-F,True,False,False,3,NEW,,,
HVAC-DUB-016,Mike Heating & Cooling,Mike,Garcia,info@mikegarcia.heatingandcooling.com,(602) 570-1015,"850 Maple Dr, Dubai, AZ",https://mikegarcia.heatingandcooling.com,,7AM-6PM M-Sat,False,False,True,1,NEW,,,
HVAC-DUB-017,John HVAC Services,John,Miller,info@johnmiller.hvacservices.com,(602) 571-1016,"900 Main St, Dubai, AZ",https://johnmiller.hvacservices.com,,8AM-5PM M-F,True,True,False,2,NEW,,,
HVAC-DUB-018,Dave Air Conditioning,Dave,Davis,info@davedavis.acrepair.com,(602) 572-1017,"950 1st Ave, Dubai, AZ",https://davedavis.acrepair.com,,7AM-6PM M-Sat,True,False,False,3,NEW,,,
